Time (UTC),Estimated Automated Ads Earnings,Estimated Host-Read Ads Earnings
"11/30/2023, 24:00:00","0.00","0.00"
"12/1/2023, 24:00:00","0.00","0.00"
"12/2/2023, 24:00:00","0.00","0.00"
"12/3/2023, 24:00:00","0.00","0.00"
"12/4/2023, 24:00:00","0.00","0.00"
"12/5/2023, 24:00:00","0.00","0.00"
"12/6/2023, 24:00:00","0.00","0.00"
"12/7/2023, 24:00:00","0.00","0.00"
"12/8/2023, 24:00:00","0.00","0.00"
"12/9/2023, 24:00:00","0.00","0.00"
"12/10/2023, 24:00:00","0.00","0.00"
"12/11/2023, 24:00:00","0.00","0.00"
"12/12/2023, 24:00:00","0.00","0.00"
"12/13/2023, 24:00:00","0.00","0.00"
"12/14/2023, 24:00:00","0.00","0.00"
"12/15/2023, 24:00:00","0.00","0.00"
"12/16/2023, 24:00:00","0.00","0.00"
"12/17/2023, 24:00:00","0.00","0.00"
"12/18/2023, 24:00:00","0.00","0.00"
"12/19/2023, 24:00:00","0.00","0.00"
"12/20/2023, 24:00:00","0.01","0.00"
"12/21/2023, 24:00:00","1.42","0.00"
"12/22/2023, 24:00:00","4.74","0.00"
"12/23/2023, 24:00:00","5.05","0.00"
"12/24/2023, 24:00:00","5.40","0.00"
"12/25/2023, 24:00:00","5.04","0.00"
"12/26/2023, 24:00:00","6.31","0.00"
"12/27/2023, 24:00:00","10.02","0.00"
"12/28/2023, 24:00:00","10.62","0.00"
"12/29/2023, 24:00:00","13.49","0.00"
"12/30/2023, 24:00:00","13.04","0.00"
"12/31/2023, 24:00:00","13.42","0.00"
"1/1/2024, 24:00:00","2.39","0.00"
"1/2/2024, 24:00:00","5.00","0.00"
"1/3/2024, 24:00:00","4.15","0.00"
"1/4/2024, 24:00:00","5.34","0.00"
"1/5/2024, 24:00:00","5.30","0.00"
"1/6/2024, 24:00:00","6.62","0.00"
"1/7/2024, 24:00:00","9.18","0.00"
"1/8/2024, 24:00:00","9.28","0.00"
"1/9/2024, 24:00:00","10.87","0.00"
"1/10/2024, 24:00:00","8.83","0.00"
"1/11/2024, 24:00:00","8.34","0.00"
"1/12/2024, 24:00:00","7.72","0.00"
"1/13/2024, 24:00:00","10.09","0.00"
"1/14/2024, 24:00:00","11.57","0.00"
"1/15/2024, 24:00:00","10.66","0.00"
"1/16/2024, 24:00:00","9.05","0.00"
"1/17/2024, 24:00:00","8.83","0.00"
"1/18/2024, 24:00:00","10.27","0.00"
"1/19/2024, 24:00:00","10.21","0.00"
"1/20/2024, 24:00:00","9.66","0.00"
"1/21/2024, 24:00:00","11.68","0.00"
"1/22/2024, 24:00:00","11.14","0.00"
"1/23/2024, 24:00:00","10.08","0.00"
"1/24/2024, 24:00:00","10.15","0.00"
"1/25/2024, 24:00:00","9.75","0.00"
"1/26/2024, 24:00:00","11.52","0.00"
"1/27/2024, 24:00:00","12.73","0.00"
"1/28/2024, 24:00:00","14.16","0.00"
"1/29/2024, 24:00:00","13.04","0.00"
"1/30/2024, 24:00:00","11.84","0.00"
"1/31/2024, 24:00:00","7.67","0.00"
"2/1/2024, 24:00:00","5.22","0.00"
"2/2/2024, 24:00:00","6.94","0.00"
"2/3/2024, 24:00:00","9.88","0.00"
"2/4/2024, 24:00:00","11.75","0.00"
"2/5/2024, 24:00:00","9.19","0.00"
"2/6/2024, 24:00:00","9.13","0.00"
"2/7/2024, 24:00:00","9.78","0.00"
"2/8/2024, 24:00:00","9.27","0.00"
"2/9/2024, 24:00:00","10.40","0.00"
"2/10/2024, 24:00:00","11.95","0.00"
"2/11/2024, 24:00:00","13.09","0.00"
"2/12/2024, 24:00:00","10.32","0.00"
"2/13/2024, 24:00:00","8.64","0.00"
"2/14/2024, 24:00:00","10.55","0.00"
"2/15/2024, 24:00:00","16.51","0.00"
"2/16/2024, 24:00:00","15.43","0.00"
"2/17/2024, 24:00:00","17.63","0.00"
"2/18/2024, 24:00:00","19.23","0.00"
"2/19/2024, 24:00:00","18.05","0.00"
"2/20/2024, 24:00:00","17.64","0.00"
"2/21/2024, 24:00:00","17.03","0.00"
"2/22/2024, 24:00:00","15.06","0.00"
"2/23/2024, 24:00:00","14.42","0.00"
"2/24/2024, 24:00:00","16.32","0.00"
"2/25/2024, 24:00:00","17.07","0.00"
"2/26/2024, 24:00:00","0.00","0.00"
"2/27/2024, 24:00:00","0.00","0.00"
