Time (UTC),Plays
"12/1/2023, 24:00:00",953
"12/2/2023, 24:00:00",964
"12/3/2023, 24:00:00",919
"12/4/2023, 24:00:00",1073
"12/5/2023, 24:00:00",1114
"12/6/2023, 24:00:00",1089
"12/7/2023, 24:00:00",1128
"12/8/2023, 24:00:00",935
"12/9/2023, 24:00:00",892
"12/10/2023, 24:00:00",888
"12/11/2023, 24:00:00",950
"12/12/2023, 24:00:00",978
"12/13/2023, 24:00:00",1048
"12/14/2023, 24:00:00",1029
"12/15/2023, 24:00:00",1012
"12/16/2023, 24:00:00",974
"12/17/2023, 24:00:00",867
"12/18/2023, 24:00:00",1025
"12/19/2023, 24:00:00",1178
"12/20/2023, 24:00:00",1145
"12/21/2023, 24:00:00",1036
"12/22/2023, 24:00:00",1033
"12/23/2023, 24:00:00",1016
"12/24/2023, 24:00:00",1019
"12/25/2023, 24:00:00",1089
"12/26/2023, 24:00:00",1275
"12/27/2023, 24:00:00",1363
"12/28/2023, 24:00:00",1391
"12/29/2023, 24:00:00",1396
"12/30/2023, 24:00:00",1421
"12/31/2023, 24:00:00",1404
"1/1/2024, 24:00:00",1313
"1/2/2024, 24:00:00",1503
"1/3/2024, 24:00:00",1698
"1/4/2024, 24:00:00",1678
"1/5/2024, 24:00:00",1637
"1/6/2024, 24:00:00",1509
"1/7/2024, 24:00:00",1532
"1/8/2024, 24:00:00",1699
"1/9/2024, 24:00:00",1754
"1/10/2024, 24:00:00",1684
"1/11/2024, 24:00:00",1637
"1/12/2024, 24:00:00",1594
"1/13/2024, 24:00:00",1454
"1/14/2024, 24:00:00",1457
"1/15/2024, 24:00:00",1478
"1/16/2024, 24:00:00",1562
"1/17/2024, 24:00:00",1602
"1/18/2024, 24:00:00",1653
"1/19/2024, 24:00:00",1620
"1/20/2024, 24:00:00",1409
"1/21/2024, 24:00:00",1438
"1/22/2024, 24:00:00",1670
"1/23/2024, 24:00:00",1577
"1/24/2024, 24:00:00",1660
"1/25/2024, 24:00:00",1693
"1/26/2024, 24:00:00",1611
"1/27/2024, 24:00:00",1595
"1/28/2024, 24:00:00",1586
"1/29/2024, 24:00:00",1695
"1/30/2024, 24:00:00",1819
"1/31/2024, 24:00:00",1894
"2/1/2024, 24:00:00",1923
"2/2/2024, 24:00:00",1828
"2/3/2024, 24:00:00",1581
"2/4/2024, 24:00:00",1649
"2/5/2024, 24:00:00",1992
"2/6/2024, 24:00:00",1821
"2/7/2024, 24:00:00",2035
"2/8/2024, 24:00:00",1807
"2/9/2024, 24:00:00",1878
"2/10/2024, 24:00:00",1736
"2/11/2024, 24:00:00",1665
"2/12/2024, 24:00:00",1691
"2/13/2024, 24:00:00",1730
"2/14/2024, 24:00:00",1859
"2/15/2024, 24:00:00",1833
"2/16/2024, 24:00:00",1754
"2/17/2024, 24:00:00",1837
"2/18/2024, 24:00:00",1875
"2/19/2024, 24:00:00",1945
"2/20/2024, 24:00:00",2028
"2/21/2024, 24:00:00",1958
"2/22/2024, 24:00:00",2028
"2/23/2024, 24:00:00",1881
"2/24/2024, 24:00:00",1720
"2/25/2024, 24:00:00",1707
"2/26/2024, 24:00:00",1971
"2/27/2024, 24:00:00",1822
"2/28/2024, 24:00:00",1535
